,State/UT,Literacy Rate,Population,Area
0,India,74.04,"1,210,854,977","3,287,240"
1,Uttar Pradesh,67.68,"199,812,341","240,928"
2,Maharashtra,82.34,"112,374,333","307,713"
3,Bihar,61.80,"104,099,452","94,163"
4,West Bengal,76.26,"91,276,115","88,752"
5,Andhra Pradesh,67.02,"84,580,777","275,045"
6,Madhya Pradesh,69.32,"72,626,809","308,252"
7,Tamil Nadu,80.09,"72,147,030","130,060"
8,Rajasthan,66.11,"68,548,437","342,239"
9,Karnataka,75.36,"61,095,297","191,791"
10,Gujarat,78.03,"60,439,692","196,244"
11,Orissa,72.87,"41,974,218","155,707"
12,Kerala,94.00,"33,406,061","38,852"
13,Jharkhand,66.41,"32,988,134","79,716"
14,Assam,72.19,"31,205,576","78,438"
15,Punjab,75.84,"27,743,338","50,362"
16,Chhattisgarh,70.28,"25,545,198","135,192"
17,Haryana,75.55,"25,351,462","44,212"
18,Delhi,86.21,"16,787,941","1,483"
19,Jammu and Kashmir,67.16,"12,541,302","222,236"
20,Uttarakhand,78.82,"10,086,292","53,483"
21,Himachal Pradesh,82.80,"6,864,602","55,673"
22,Tripura,87.22,"3,673,917","10,486"
23,Meghalaya,74.43,"2,966,889","22,429"
24,Manipur,76.94,"2,855,794","22,327"
25,Nagaland,79.55,"1,978,502","16,579"
26,Goa,88.70,"1,458,545","3,702"
27,Arunachal Pradesh,65.38,"1,383,727","83,743"
28,Puducherry,85.85,"1,247,953",490
29,Mizoram,91.33,"1,097,206","21,081"
30,Chandigarh,86.05,"1,055,450",114
31,Sikkim,81.42,"610,577","7,096"
32,Andaman and Nicobar Islands,86.63,"380,581","8,249"
33,Dadra and Nagar Haveli,76.24,"343,709",491
34,Daman and Diu,87.10,"243,247",111
35,Lakshadweep,91.85,"64,473",30
